Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
185.0,Lycée,42,45.64730437159349,4.2281797607881035
5.0,Lycée,77,48.89253736770299,2.5972945227420934
82.0,Lycée,75,48.85605175307228,2.3029001335063803
29.0,Lycée,75,48.8492094051215,2.296748927547684
25.0,Lycée,75,48.82617741126835,2.334469456754153
189.0,Lycée,75,48.87034596990987,2.364440134128896
5.0,Lycée,75,48.8492094131309,2.2967502901857206
167.0,Lycée,75,48.856716176296864,2.382779717859916
32.0,Lycée,02,49.854409715218274,3.3082603511926583
6.0,Lycée,80,49.89080019209361,2.268470170617101
105.0,Lycée,80,49.91216967717995,2.3205204430506785
46.0,Lycée,95,49.029195125938934,2.343340484052665
135.0,Lycée,27,49.0949008364516,0.6047301835013287
9.0,Lycée,78,48.76223562253529,2.1538804355072347
27.0,Lycée,94,48.723787151700535,2.4228202813646535
68.0,Lycée,34,43.613010773896335,3.937272046200388
22.0,Lycée,11,43.18218873137366,3.007449855287055
5.0,Lycée,11,43.19052267187046,2.7635195973535582
65.0,Lycée,34,43.36484403113145,3.053723712800187
19.0,Lycée,69,45.73643649212418,4.836840775653031
204.0,Lycée,75,48.844988118929926,2.346119543594602
73.0,Lycée,06,43.70287806653571,7.265810133757446
5.0,Lycée,83,43.1699904367749,5.9186894719111045
30.0,Lycée,72,48.01445071609827,0.15914010283414673
39.0,Lycée,85,46.66955113750099,-1.4290206108092869
69.0,Lycée,69,45.75213086089328,4.824799438140066
14.0,Lycée,34,43.65832316129324,3.9004702593655542
9.0,Lycée,57,49.103754865441495,6.192479346151749
53.0,Lycée,13,43.30175759335932,5.462340103017173
18.0,Lycée,11,43.181468482430255,3.0021300838596634
64.0,Lycée,13,43.41755871814546,5.288380525900712
5.0,Lycée,13,43.30985100295239,5.385781041759285
19.0,Lycée,26,45.17144136986468,5.1372704210968285
143.0,Lycée,26,44.93336708856135,4.902389712303732
10.0,Lycée,29,47.99636092320835,-4.109970416495827
82.0,Lycée,31,43.626444954673815,1.392020144767513
90.0,Lycée,34,43.36076225590513,3.2469097489879024
5.0,Lycée,34,43.53256413638457,3.8622804933803017
13.0,Lycée,34,43.64584761877983,3.8406743536645167
105.0,Lycée,35,48.588082462756326,-1.924541088702696
14.0,Lycée,39,46.67878133460018,5.554799891331379
18.0,Lycée,43,45.29062423060947,4.161069905585704
41.0,Lycée,49,47.48736583831943,-0.5996604463997189
8.0,Lycée,49,47.48187016195636,-0.5446300745395215
44.0,Lycée,54,48.69993331002098,6.0271696189878465
122.0,Lycée,67,48.5933481108263,7.755539488732984
42.0,Lycée,67,48.58958785389223,7.7448195723033155
9.0,Lycée,67,48.578515643576075,7.713670251197056
5.0,Lycée,67,48.56896707166333,7.779080523679202
28.0,Lycée,68,47.905127767062424,7.218419670919827
91.0,Lycée,75,48.8359790033561,2.407540048258704
5.0,Lycée,75,48.87893412086398,2.353429937969886
138.0,Lycée,75,48.834132449839814,2.301979412043785
37.0,Lycée,83,43.127398615508454,5.929980031370594
9.0,Lycée,86,46.584674135075396,0.34478054269593705
90.0,Lycée,92,48.844345374067814,2.2362704656669723
16.0,Lycée,94,48.734559282232006,2.4530804504484434
22.0,Lycée,971,16.2358877886001,-61.53578981352718
19.0,Lycée,971,16.190067436477538,-61.59034993837739
5.0,Lycée,972,14.646159066189787,-61.093630094614035
17.0,Lycée,75,48.86141276462428,2.3847400317069667
1083.0,Lycée,21,47.335386377768536,5.017509900066781
882.0,Lycée,21,47.32141498795557,5.05064953550878
465.0,Lycée,64,43.166082221857785,-1.2305128927974422
872.0,Lycée,86,46.81489123115518,0.5406501178528426
405.0,Lycée,50,48.831004631077754,-1.580500366476394
126.0,Lycée,14,49.142819651295106,0.2189997777629245
